hour,day,month,pm25,pm10,co,no2,so2,o3,nh3,aqi_change_rate
3,30,6,20.65,75.89,72.22,0.1,0.45,49.1,0.0,3.1700000000000017
18,21,7,17.22,70.8,74.64,0.07,0.3,50.27,0.0,-0.519999999999996
0,13,6,11.28,51.02,73.64,0.08,0.41,40.58,0.0,2.0
3,30,7,31.48,154.07,68.35,0.09,0.72,47.95,0.0,-0.039999999999992
21,25,6,38.68,190.27,89.4,0.08,0.45,58.78,0.0,1.0100000000000051
10,15,6,24.84,105.38,77.1,0.06,0.49,45.86,0.0,0.8400000000000034
11,25,6,37.99,160.34,92.43,0.1,0.56,66.52,0.0,-1.8000000000000114
21,29,7,32.13,155.51,66.88,0.1,0.72,43.92,0.0,-1.75
8,13,7,19.3,70.47,80.5,0.06,0.27,41.13,0.0,2.0600000000000023
7,18,7,21.74,87.75,79.66,0.05,0.25,42.24,0.0,0.1400000000000005
0,26,6,43.63,215.1,91.65,0.07,0.42,63.72,0.0,0.0
23,19,6,26.81,112.56,77.02,0.09,0.49,50.16,0.0,-0.25
12,16,6,32.21,148.55,83.46,0.06,0.22,53.71,0.0,2.1000000000000085
19,14,6,20.66,92.16,76.01,0.11,0.49,44.29,0.0,-1.0699999999999932
15,2,7,17.53,71.68,73.29,0.1,0.4,43.68,0.0,-0.1000000000000014
4,26,7,28.47,109.06,73.25,0.08,0.42,54.24,0.0,-1.509999999999991
20,29,7,32.96,161.13,67.1,0.1,0.71,43.73,0.0,-2.8799999999999955
22,28,7,27.5,139.04,69.27,0.1,0.66,47.0,0.0,-2.2900000000000063
3,29,6,10.02,12.9,76.27,0.1,0.15,51.91,0.0,1.2899999999999991
14,14,6,23.69,110.3,76.94,0.1,0.48,47.28,0.0,-0.6099999999999994
4,14,6,22.02,94.11,78.4,0.11,0.55,48.26,0.0,0.519999999999996
1,29,7,24.92,122.66,69.31,0.09,0.68,48.23,0.0,-2.6099999999999994
20,10,7,23.33,105.61,77.19,0.09,0.47,44.92,0.0,0.2100000000000079
12,1,6,40.06,132.76,82.32,0.05,0.45,49.76,0.0,-2.780000000000001
2,8,6,11.05,54.67,80.04,0.05,0.2,57.5,0.0,2.5
18,11,6,9.01,35.76,75.77,0.06,0.31,40.99,0.0,-0.5
7,5,7,37.71,164.43,79.58,0.08,0.37,56.84,0.0,3.8400000000000034
19,27,7,34.87,183.75,71.11,0.1,0.58,46.94,0.0,-3.1899999999999977
14,1,8,21.68,86.18,81.76,0.08,0.4,44.97,0.0,1.4500000000000028
17,6,6,14.42,76.96,80.36,0.06,0.18,51.34,0.0,1.1400000000000006
17,23,6,30.82,137.16,76.22,0.11,0.57,46.65,0.0,0.4200000000000017
14,26,6,41.77,166.33,87.02,0.12,0.35,57.87,0.0,-2.2900000000000063
8,6,7,29.34,143.74,69.0,0.06,0.59,48.58,0.0,-1.3399999999999892
21,17,7,20.41,93.03,79.49,0.07,0.34,42.2,0.0,0.7000000000000028
2,24,6,30.11,130.74,82.98,0.11,0.49,57.81,0.0,-1.0700000000000074
18,6,6,15.23,81.89,80.69,0.05,0.18,52.16,0.0,1.6999999999999955
15,25,7,24.09,91.35,78.76,0.08,0.41,53.89,0.0,0.7000000000000028
11,7,7,33.31,149.6,76.27,0.08,0.45,57.64,0.0,-2.210000000000008
7,10,6,6.47,24.45,76.19,0.03,0.2,41.71,0.0,0.7899999999999991
12,5,7,43.32,186.7,86.16,0.08,0.39,60.95,0.0,-0.269999999999996
22,17,6,34.87,147.09,82.34,0.08,0.48,52.3,0.0,1.9200000000000017
11,14,6,23.36,107.59,76.75,0.06,0.46,46.0,0.0,1.3900000000000006
9,13,6,15.28,66.96,75.84,0.05,0.44,41.24,0.0,0.4199999999999946
7,16,7,28.3,123.61,75.87,0.05,0.39,41.23,0.0,-1.6200000000000043
20,1,7,19.17,87.55,71.87,0.1,0.39,43.83,0.0,-2.019999999999996
1,29,6,9.61,12.27,74.88,0.1,0.16,49.4,0.0,-0.5399999999999991
23,28,7,26.86,135.14,69.55,0.09,0.67,47.68,0.0,-1.3499999999999943
4,16,7,30.0,132.19,76.19,0.09,0.4,41.98,0.0,-0.5699999999999932
10,7,7,34.36,158.8,75.65,0.08,0.47,57.03,0.0,-2.1299999999999955
17,24,6,34.94,143.26,81.81,0.1,0.56,51.73,0.0,1.8299999999999983
19,21,6,30.41,139.57,80.67,0.08,0.5,54.68,0.0,4.38000000000001
17,1,8,24.91,107.23,78.02,0.09,0.44,43.95,0.0,2.3799999999999955
3,1,6,38.4,129.82,86.11,0.09,0.47,63.78,0.0,6.549999999999997
5,2,7,16.48,65.58,72.71,0.09,0.41,46.68,0.0,-0.269999999999996
8,20,6,27.64,123.09,79.19,0.05,0.48,51.85,0.0,0.4600000000000079
7,14,6,22.17,97.34,77.81,0.07,0.49,48.33,0.0,-0.019999999999996
5,1,6,42.82,135.78,88.63,0.06,0.46,66.46,0.0,4.599999999999994
16,11,7,15.02,66.41,74.56,0.09,0.32,42.15,0.0,0.9200000000000016
15,23,6,31.06,137.95,78.3,0.1,0.54,49.63,0.0,-2.4399999999999977
7,2,7,16.82,67.85,72.15,0.06,0.4,45.59,0.0,0.3800000000000025
15,2,6,46.88,192.28,90.33,0.09,0.44,62.0,0.0,0.7900000000000205
10,23,6,33.38,151.63,79.53,0.06,0.49,50.84,0.0,-0.0699999999999931
0,11,6,11.9,47.46,77.89,0.05,0.25,47.04,0.0,0.0
15,6,6,13.53,71.02,80.22,0.06,0.17,50.46,0.0,0.6299999999999955
11,20,7,22.97,102.43,75.95,0.07,0.38,43.52,0.0,0.1099999999999994
10,4,7,27.0,84.91,72.96,0.08,0.27,43.28,0.12,1.3999999999999917
7,3,7,17.2,72.26,72.98,0.08,0.31,42.76,0.0,-0.2100000000000008
18,1,8,25.94,114.88,75.88,0.09,0.45,43.28,0.0,2.1700000000000017
0,18,7,23.02,103.47,79.46,0.07,0.35,41.96,0.0,1.509999999999991
22,27,7,30.95,161.28,69.47,0.11,0.62,44.06,0.0,-2.0
1,25,6,43.56,157.92,93.51,0.09,0.63,71.71,0.0,1.9699999999999989
10,1,8,20.09,67.7,78.27,0.05,0.38,45.1,0.0,0.5600000000000023
6,19,7,22.13,77.51,78.14,0.07,0.34,41.46,0.0,0.5
21,28,7,28.59,145.26,69.03,0.1,0.66,46.2,0.0,-2.3499999999999943
13,16,6,33.51,155.15,84.03,0.07,0.23,54.44,0.0,2.739999999999995
0,14,6,20.29,85.7,78.12,0.12,0.54,44.77,0.0,0.9599999999999936
7,19,6,19.88,89.12,77.25,0.05,0.45,51.51,0.0,0.8799999999999955
5,14,6,22.14,95.28,78.35,0.09,0.54,48.83,0.0,0.25
15,31,7,30.57,140.66,73.36,0.11,0.53,45.71,0.0,0.1000000000000085
4,4,7,25.55,83.28,71.49,0.12,0.33,42.17,0.06,0.8900000000000006
3,18,7,21.93,89.2,80.88,0.08,0.28,43.63,0.0,-1.3499999999999943
